TIMESTAMP,INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TRADED_QTY,TURN_OVER
29-01-2020,NIFTY 50,12114.9,12169.6,12129.5,12103.8,514362340,20646.18
30-01-2020,NIFTY 50,12147.75,12150.3,12035.8,12010.6,538138743,19372.67
31-01-2020,NIFTY 50,12100.4,12103.55,11962.1,11945.85,771278258,26044.91
01-02-2020,NIFTY 50,11939.0,12017.35,11661.85,11633.3,537634767,20598.12
03-02-2020,NIFTY 50,11627.45,11749.85,11707.9,11614.5,669815788,25415.26
04-02-2020,NIFTY 50,11786.25,11986.15,11979.65,11783.4,560430291,22338.5
05-02-2020,NIFTY 50,12005.85,12098.15,12089.15,11953.35,758032580,22998.05
06-02-2020,NIFTY 50,12120.0,12160.6,12137.95,12084.65,565116236,21735.92
07-02-2020,NIFTY 50,12151.15,12154.7,12098.35,12073.95,473475144,16339.61
10-02-2020,NIFTY 50,12102.35,12103.55,12031.5,11990.75,525674715,17185.14
11-02-2020,NIFTY 50,12108.4,12172.3,12107.9,12099.0,480491557,16209.52
12-02-2020,NIFTY 50,12151.0,12231.75,12201.2,12144.3,412399174,16598.33
13-02-2020,NIFTY 50,12219.55,12225.65,12174.65,12139.8,501510138,16315.27
14-02-2020,NIFTY 50,12190.15,12246.7,12113.45,12091.2,623053270,20759.51
17-02-2020,NIFTY 50,12131.8,12159.6,12045.8,12037.0,455412408,15439.55
18-02-2020,NIFTY 50,12028.25,12030.75,11992.5,11908.05,677307424,18853.0
19-02-2020,NIFTY 50,12090.6,12134.7,12125.9,12042.1,514030605,17610.89
20-02-2020,NIFTY 50,12119.0,12152.0,12080.85,12071.45,502875583,18831.51
24-02-2020,NIFTY 50,12012.55,12012.55,11829.4,11813.4,491224913,19421.04
25-02-2020,NIFTY 50,11877.5,11883.05,11797.9,11779.9,461349973,18510.82
26-02-2020,NIFTY 50,11738.55,11783.25,11678.5,11639.6,567990976,21887.07
27-02-2020,NIFTY 50,11661.25,11663.85,11633.3,11536.7,609266324,21623.47
